participant,condition,reversed,size,colour,phase,dimension1mean,dimension2mean,dimension1sd,dimension1sd,duration,,
R201 ,2,1,1,,1,376.0269,0,80.00314,0,791,,
R201 ,2,1,2,,1,358.8368,0,89.75491,0,708,,
R201 ,2,1,3,,1,161.3019,0,55.59084,0,278,,
R201 ,2,1,4,,1,191.6458,0,75.9098,0,685,,
R201 ,2,1,5,,1,140.4663,0,60.24553,0,541,,
R201 ,2,1,1,1,2,212.2301,0,111.0519,0,99,,
R201 ,2,1,3,1,2,233.6152,0,107.0702,0,213,,
R201 ,2,1,5,1,2,271.6427,0,131.9206,0,236,,
R201 ,2,1,1,3,2,270.455,0,83.70776,0,378,,
R201 ,2,1,3,3,2,257.7655,0,123.1225,0,74,,
R201 ,2,1,5,3,2,233.5447,0,99.6568,0,299,,
R201 ,2,1,1,5,2,212.1513,0,107.6886,0,400,,
R201 ,2,1,3,5,2,230.5937,0,98.29295,0,89,,
R201 ,2,1,5,5,2,274.297,0,115.9652,0,613,,
R201 ,2,1,1,1,3,153.8742,-91.70471,35.22888,16.2115,329,,
R201 ,2,1,3,1,3,159.7792,-16.43581,53.8767,7.96542,402,,
R201 ,2,1,5,1,3,157.7811,-4.358539,93.88455,44.28311,519,,
R201 ,2,1,1,3,3,121.9533,-21.05863,55.56469,8.838792,639,,
R201 ,2,1,3,3,3,142.2444,-39.67913,74.0115,46.33526,735,,
R201 ,2,1,5,3,3,115.4588,-54.35751,12.52842,58.8977,947,,
R201 ,2,1,1,5,3,133.5686,62.95636,29.52406,48.98309,1226,,
R201 ,2,1,3,5,3,125.113,-18.54393,47.03724,50.33912,685,,
R201 ,2,1,5,5,3,175.5831,-32.43858,76.50212,55.27327,896,,
R202,2,1,1,,1,118.6848,0,20.91162,0,95,,
R202,2,1,2,,1,100.4302,0,9.292647,0,298,,
R202,2,1,3,,1,183.2997,0,107.2758,0,440,,
R202,2,1,4,,1,127.5019,0,62.6286,0,599,,
R202,2,1,5,,1,114.8286,0,21.67849,0,919,,
R202,2,1,1,1,2,157.1579,0,72.47928,0,232,,
R202,2,1,3,1,2,248.8617,0,113.1995,0,320,,
R202,2,1,5,1,2,161.1169,0,68.8573,0,523,,
R202,2,1,1,3,2,75.28096,0,34.39993,0,67,,
R202,2,1,3,3,2,116.1336,0,39.25752,0,561,,
R202,2,1,5,3,2,96.09969,0,4.821405,0,604,,
R202,2,1,1,5,2,135.1318,0,45.81879,0,111,,
R202,2,1,3,5,2,95.55195,0,37.05254,0,494,,
R202,2,1,5,5,2,109.2414,0,36.0146,0,1565,,
R202,2,1,1,1,3,70.53705,29.36148,21.06428,32.80511,67,,
R202,2,1,3,1,3,98.83265,-8.212935,28.80586,32.68799,535,,
R202,2,1,5,1,3,80.02991,-9.784445,14.40931,41.86751,933,,
R202,2,1,1,3,3,131.738,64.60107,42.76718,86.39646,104,,
R202,2,1,3,3,3,72.88824,-19.52282,13.15644,34.66182,442,,
R202,2,1,5,3,3,107.148,-11.51487,11.19609,37.08808,596,,
R202,2,1,1,5,3,75.64335,-2.377429,5.87622,5.020105,86,,
R202,2,1,3,5,3,105.8709,-10.89336,53.02393,28.31497,837,,
R202,2,1,5,5,3,120.7229,-17.78861,46.65667,5.238885,1313,,
R203,2,1,1,,1,117.7748,0,58.71093,0,860,,
R203,2,1,2,,1,117.833,0,83.98643,0,966,,
R203,2,1,3,,1,118.9068,0,77.26847,0,1401,,
R203,2,1,4,,1,105.1549,0,73.13059,0,1081,,
R203,2,1,5,,1,112.4047,0,83.75986,0,1206,,
R203,2,1,1,1,2,107.7801,0,63.36769,0,663,,
R203,2,1,3,1,2,148.4765,0,95.72228,0,751,,
R203,2,1,5,1,2,99.40154,0,45.556,0,628,,
R203,2,1,1,3,2,95.94741,0,61.73008,0,681,,
R203,2,1,3,3,2,140.1647,0,99.84427,0,1044,,
R203,2,1,5,3,2,113.0358,0,50.16982,0,859,,
R203,2,1,1,5,2,136.4712,0,82.31411,0,864,,
R203,2,1,3,5,2,135.3337,0,85.69669,0,1248,,
R203,2,1,5,5,2,147.6901,0,66.5916,0,960,,
R203,2,1,1,1,3,51.25014,20.74653,11.2199,14.38505,565,,
R203,2,1,3,1,3,113.5175,12.58301,64.78316,49.88959,1211,,
R203,2,1,5,1,3,101.4297,46.78311,50.46741,42.5181,1040,,
R203,2,1,1,3,3,49.99293,17.05532,8.357016,17.49783,1032,,
R203,2,1,3,3,3,69.45841,39.05262,30.487,39.56847,485,,
R203,2,1,5,3,3,95.73194,16.35519,92.36119,15.77333,512,,
R203,2,1,1,5,3,46.04191,11.42047,6.413778,11.82785,807,,
R203,2,1,3,5,3,72.78199,48.98837,25.56626,39.50013,677,,
R203,2,1,5,5,3,103.821,-7.258964,42.43475,68.88127,964,,
R204,2,1,1,,1,124.4655,0,47.16075,0,76,,
R204,2,1,2,,1,53.23967,0,12.24255,0,218,,
R204,2,1,3,,1,118.4799,0,53.11047,0,260,,
R204,2,1,4,,1,58.98708,0,14.66251,0,28,,
R204,2,1,5,,1,65.83019,0,12.39496,0,450,,
R204,2,1,1,1,2,192.9232,0,85.28967,0,115,,
R204,2,1,3,1,2,140.1999,0,56.40524,0,281,,
R204,2,1,5,1,2,137.1011,0,51.8458,0,698,,
R204,2,1,1,3,2,110.9604,0,30.35588,0,111,,
R204,2,1,3,3,2,131.2013,0,50.36041,0,308,,
R204,2,1,5,3,2,146.1765,0,52.54843,0,555,,
R204,2,1,1,5,2,126.8587,0,52.47881,0,156,,
R204,2,1,3,5,2,166.0769,0,71.87202,0,235,,
R204,2,1,5,5,2,133.2368,0,69.30558,0,468,,
R204,2,1,1,1,3,163.8509,-192.2026,52.77436,44.61501,67,,
R204,2,1,3,1,3,163.1771,-66.29891,81.13692,32.89472,540,,
R204,2,1,5,1,3,155.3023,-137.9828,75.3144,53.94755,375,,
R204,2,1,1,3,3,113.3563,95.70289,41.33569,38.97782,75,,
R204,2,1,3,3,3,84.08253,67.40609,27.47812,36.26267,146,,
R204,2,1,5,3,3,122.5397,108.4832,50.26498,43.78339,531,,
R204,2,1,1,5,3,92.68886,10.78401,51.05781,5.878133,86,,
R204,2,1,3,5,3,113.6114,0.6315176,68.12848,7.786394,237,,
R204,2,1,5,5,3,148.4647,-2.56203,84.99138,15.31862,440,,
R205,2,1,1,,1,96.80932,0,60.0559,0,63,,
R205,2,1,2,,1,213.0495,0,128.082,0,415,,
R205,2,1,3,,1,71.72599,0,3.233766,0,516,,
R205,2,1,4,,1,288.5809,0,141.7279,0,570,,
R205,2,1,5,,1,262.7971,0,130.8538,0,202,,
R205,2,1,1,1,2,327.4106,0,0.7136116,0,25,,
R205,2,1,3,1,2,355.3938,0,1.163571,0,92,,
R205,2,1,5,1,2,355.2347,0,2.941376,0,247,,
R205,2,1,1,3,2,94.98385,0,49.27095,0,95,,
R205,2,1,3,3,2,112.4386,0,47.73209,0,211,,
R205,2,1,5,3,2,161.7308,0,87.25964,0,644,,
R205,2,1,1,5,2,54.59162,0,0.4335574,0,33,,
R205,2,1,3,5,2,40.05927,0,0.9202097,0,100,,
R205,2,1,5,5,2,46.14665,0,0.616532,0,277,,
R205,2,1,1,1,3,100.7472,-9.706147,60.73561,5.624207,138,,
R205,2,1,3,1,3,86.56582,-8.774968,35.23134,5.110627,261,,
R205,2,1,5,1,3,128.1426,-11.02052,61.72791,10.26452,593,,
R205,2,1,1,3,3,59.16123,-26.51841,3.949601,33.5566,65,,
R205,2,1,3,3,3,57.70097,-16.89406,8.566542,27.94956,92,,
R205,2,1,5,3,3,66.98983,-37.68278,6.061019,32.44934,280,,
R205,2,1,1,5,3,50.50681,21.13801,6.031822,27.71329,156,,
R205,2,1,3,5,3,84.76564,18.7595,34.69311,42.40865,220,,
R205,2,1,5,5,3,51.91368,39.56596,10.29363,30.5971,258,,
R101,1,1,1,,1,172.8382,0,22.59128,0,23,,
R101,1,1,2,,1,168.9311,0,42.46779,0,682,,
R101,1,1,3,,1,111.6507,0,30.95572,0,152,,
R101,1,1,4,,1,196.6434,0,83.42258,0,481,,
R101,1,1,5,,1,53.49217,0,11.87129,0,431,,
R101,1,1,1,1,2,62.20702,0,17.23523,0,152,,
R101,1,1,3,1,2,54.09532,0,12.01852,0,130,,
R101,1,1,5,1,2,47.14237,0,5.821689,0,114,,
R101,1,1,1,3,2,191.7387,0,142.9738,0,92,,
R101,1,1,3,3,2,65.72886,0,19.62959,0,116,,
R101,1,1,5,3,2,38.59011,0,16.21734,0,25,,
R101,1,1,1,5,2,175.1152,0,138.0833,0,225,,
R101,1,1,3,5,2,239.3761,0,143.7648,0,326,,
R101,1,1,5,5,2,78.56331,0,79.62868,0,199,,
R101,1,1,1,1,3,239.2575,68.28097,156.5548,33.47637,124,,
R101,1,1,3,1,3,137.3403,19.51446,138.8982,26.11466,289,,
R101,1,1,5,1,3,174.4109,49.96079,153.9605,37.21104,398,,
R101,1,1,1,3,3,67.16667,17.05036,33.43197,26.74939,14,,
R101,1,1,3,3,3,33.81283,-15.65504,3.622676,9.642117,32,,
R101,1,1,5,3,3,75.67606,-18.16633,25.34557,21.47585,145,,
R101,1,1,1,5,3,77.27874,62.09198,22.54129,41.57939,109,,
R101,1,1,3,5,3,57.32892,1.212064,16.50441,2.475129,70,,
R101,1,1,5,5,3,46.72107,-2.759754,5.404233,15.3993,116,,
R102,1,1,1,,1,312.2396,0,25.03893,0,160,,
R102,1,1,2,,1,152.6095,0,34.66316,0,112,,
R102,1,1,3,,1,154.1475,0,98.4379,0,57,,
R102,1,1,4,,1,329.2002,0,150.3087,0,141,,
R102,1,1,5,,1,348.1235,0,152.614,0,291,,
R102,1,1,1,1,2,396.0822,0,4.123817,0,44,,
R102,1,1,3,1,2,339.5418,0,5.170946,0,220,,
R102,1,1,5,1,2,376.1666,0,15.92116,0,731,,
R102,1,1,1,3,2,156.626,0,9.428482,0,34,,
R102,1,1,3,3,2,223.8524,0,4.171322,0,122,,
R102,1,1,5,3,2,170.3445,0,4.128157,0,692,,
R102,1,1,1,5,2,70.71077,0,21.04697,0,40,,
R102,1,1,3,5,2,66.13817,0,7.621729,0,163,,
R102,1,1,5,5,2,52.69417,0,6.326071,0,544,,
R102,1,1,1,1,3,315.8389,113.3761,3.303897,1.742413,69,,
R102,1,1,3,1,3,293.9823,109.8266,2.690925,1.969376,205,,
R102,1,1,5,1,3,362.1174,120.0592,8.670082,6.397662,1094,,
R102,1,1,1,3,3,191.9673,8.325021,5.664373,2.423415,42,,
R102,1,1,3,3,3,215.1308,-2.896291,3.728889,1.842006,219,,
R102,1,1,5,3,3,154.1613,7.45135,5.320627,3.274888,1048,,
R102,1,1,1,5,3,75.65359,-63.29277,2.243446,2.348151,44,,
R102,1,1,3,5,3,74.49474,-50.06908,3.201068,1.892197,252,,
R102,1,1,5,5,3,61.81176,-57.42419,4.241274,3.462106,733,,
R103,1,1,1,,1,56.79181,0,11.63837,0,14,,
R103,1,1,2,,1,86.81874,0,18.75371,0,118,,
R103,1,1,3,,1,85.8747,0,22.96055,0,111,,
R103,1,1,4,,1,78.01919,0,15.77939,0,240,,
R103,1,1,5,,1,86.96963,0,18.41726,0,427,,
R103,1,1,1,1,2,489.2281,0,52.23108,0,296,,
R103,1,1,3,1,2,261.1232,0,32.30072,0,429,,
R103,1,1,5,1,2,381.8651,0,42.574,0,1168,,
R103,1,1,1,3,2,195.527,0,33.20712,0,88,,
R103,1,1,3,3,2,260.8344,0,24.54163,0,336,,
R103,1,1,5,3,2,256.237,0,26.94939,0,1297,,
R103,1,1,1,5,2,60.32466,0,5.19238,0,55,,
R103,1,1,3,5,2,71.01802,0,6.997743,0,288,,
R103,1,1,5,5,2,72.71628,0,31.59406,0,508,,
R103,1,1,1,1,3,427.3475,-356.4693,42.37154,52.66613,115,,
R103,1,1,3,1,3,402.7921,-337.4929,24.92648,48.82326,386,,
R103,1,1,5,1,3,460.0865,-199.2281,67.25188,158.487,1384,,
R103,1,1,1,3,3,328.5051,-44.73458,89.29687,20.71286,162,,
R103,1,1,3,3,3,268.2112,-70.61336,64.72685,59.92236,367,,
R103,1,1,5,3,3,269.141,-108.4684,35.38244,56.78777,730,,
R103,1,1,1,5,3,75.45448,-13.89383,24.30328,17.35011,54,,
R103,1,1,3,5,3,85.63753,-17.64499,18.24132,13.06132,305,,
R103,1,1,5,5,3,62.68718,-13.65288,16.26141,12.57999,861,,
R104,1,1,1,,1,32.46491,0,1.505618,0,56,,
R104,1,1,2,,1,50.63998,0,28.23437,0,184,,
R104,1,1,3,,1,44.12046,0,9.927314,0,171,,
R104,1,1,4,,1,66.88655,0,12.34848,0,654,,
R104,1,1,5,,1,70.20829,0,15.0417,0,674,,
R104,1,1,1,1,2,85.42332,0,7.968187,0,275,,
R104,1,1,3,1,2,171.5631,0,4.331592,0,135,,
R104,1,1,5,1,2,329.5099,0,18.33317,0,140,,
