;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
1;R201 ;2;1;1;0;1;2.285.822.182;0;8.000.314;0;791
2;R201 ;2;1;2;0;1;210.697.372;0;8.975.491;0;708
3;R201 ;2;1;3;0;1;0.051790034;0;5.559.084;0;278
4;R201 ;2;1;4;0;1;0.367492668;0;759.098;0;685
5;R201 ;2;1;5;0;1;-0.164986775;0;6.024.553;0;541
6;R201 ;2;1;1;1;2;0.581654913;0;1.110.519;0;99
7;R201 ;2;1;1;3;2;0.804148804;0;1.070.702;0;213
8;R201 ;2;1;1;5;2;1.199.792.802;0;1.319.206;0;236
9;R201 ;2;1;3;1;2;1.187.435.788;0;8.370.776;0;378
10;R201 ;2;1;3;3;2;1.055.412.265;0;1.231.225;0;74
11;R201 ;2;1;3;5;2;0.803415311;0;996.568;0;299
12;R201 ;2;1;5;1;2;0.580835065;0;1.076.886;0;400
13;R201 ;2;1;5;3;2;0.77271265;0;9.829.295;0;89
14;R201 ;2;1;5;5;2;1.227.408.551;0;1.159.652;0;613
15;R201 ;2;1;1;1;3;-0.025488907;-9.170.471;3.522.888;162.115;329
16;R201 ;2;1;1;3;3;0.035947627;-1.643.581;538.767;796.542;402
17;R201 ;2;1;1;5;3;0.015159086;-4.358.539;9.388.455;4.428.311;519
18;R201 ;2;1;3;1;3;-0.357598893;-2.105.863;5.556.469;8.838.792;639
19;R201 ;2;1;3;3;3;-0.146487147;-3.967.913;740.115;4.633.526;735
20;R201 ;2;1;3;5;3;-0.425168677;-5.435.751;1.252.842;588.977;947
21;R201 ;2;1;5;1;3;-0.236751513;6.295.636;2.952.406;4.898.309;1226
22;R201 ;2;1;5;3;3;-0.324724885;-1.854.393;4.703.724;5.033.912;685
23;R201 ;2;1;5;5;3;0.20037385;-3.243.858;7.650.212;5.527.327;896
24;R202;2;1;1;0;1;-0.391604873;0;2.091.162;0;95
25;R202;2;1;2;0;1;-0.581528558;0;9.292.647;0;298
26;R202;2;1;3;0;1;0.280658551;0;1.072.758;0;440
27;R202;2;1;4;0;1;-0.2998704;0;626.286;0;599
28;R202;2;1;5;0;1;-0.431725375;0;2.167.849;0;919
29;R202;2;1;1;1;2;0.008675216;0;7.247.928;0;232
30;R202;2;1;1;3;2;0.962775751;0;1.131.995;0;320
31;R202;2;1;1;5;2;0.049865265;0;688.573;0;523
32;R202;2;1;3;1;2;-0.843185145;0;3.439.993;0;67
33;R202;2;1;3;3;2;-0.418147953;0;3.925.752;0;561
34;R202;2;1;3;5;2;-0.626583855;0;4.821.405;0;604
35;R202;2;1;5;1;2;-0.220487739;0;4.581.879;0;111
36;R202;2;1;5;3;2;-0.632282627;0;3.705.254;0;494
37;R202;2;1;5;5;2;-0.489855469;0;360.146;0;1565
38;R202;2;1;1;1;3;-0.892541519;2.936.148;2.106.428;3.280.511;67
39;R202;2;1;1;3;3;-0.598149716;-8.212.935;2.880.586;3.268.799;535
40;R202;2;1;1;5;3;-0.793776334;-9.784.445;1.440.931;4.186.751;933
41;R202;2;1;3;1;3;-0.255797359;6.460.107;4.276.718;8.639.646;104
42;R202;2;1;3;3;3;-0.868079375;-1.952.282;1.315.644;3.466.182;442
43;R202;2;1;3;5;3;-0.511635527;-1.151.487;1.119.609;3.708.808;596
44;R202;2;1;5;1;3;-0.839414784;-2.377.429;587.622;5.020.105;86
45;R202;2;1;5;3;3;-0.524922673;-1.089.336;5.302.393;2.831.497;837
46;R202;2;1;5;5;3;-0.370400165;-1.778.861;4.665.667;5.238.885;1313
47;R203;2;1;1;0;1;-0.401072654;0;5.871.093;0;860
48;R203;2;1;2;0;1;-0.400467132;0;8.398.643;0;966
49;R203;2;1;3;0;1;-0.389295151;0;7.726.847;0;1401
50;R203;2;1;4;0;1;-0.532372048;0;7.313.059;0;1081
51;R203;2;1;5;0;1;-0.456944006;0;8.375.986;0;1206
52;R203;2;1;1;1;2;-0.505059061;0;6.336.769;0;663
53;R203;2;1;1;3;2;-0.081647413;0;9.572.228;0;751
