PP NR,Condition,Reversed,Easy,First phase Size,relic1stsize,first_phase_strategy,Second Phase Size,relic2ndsize,Second phase colour,relic2ndcol,Third phase size,relic3rdsize,Third phase colour,relic3rdcol,score1st,score2nd,score3rd,Overall
1320106514,2,0,,pitch,1,1,duration,1,pitch,1,duration,1,pitch,1,0.9,0.75,0.611111111,0.72826087
1320116514,2,0,,duration,1,1,duration,1,pitch,1,duration,1,pauses,0,0.9,0.56,0.67,0.676956522
1320149514,2,0,1,pitch,1,1,pitch,1,vomume,1,duration,1,pitch,1,0.4,0.444444444,0.388888889,0.413043478
13201516514,2,0,0,pitch,1,1,volume,1,pitch,1,movement,0,pitch,1,0.7,0.666666667,1,0.804347826
13201720514,2,0,1,0,,0,0,?,movement,0,volume,1,movement,0,0.1,0.111111111,0.277777778,0.173913044
13201820514,2,0,0,duration,1,1,duration,1,?,?,duration,1,pitch + volume,1,0.5,0.5,0.777777778,0.608695652
132R0128514,2,1,0.5,duration,1,1,duration,1,movement,0,duration,1,movement,0,0.6,0.78,0.67,0.697826087
132R0139514,2,1,1,movement + speed,0,1,movement + speed,0,movement frequency,0,movement + speed,0,movement frequency,0,0.7,0.5,0.8,0.660869565
132R01513514,2,1,0.5,duration,1,1,duration,1,pitch,1,duration,1,pitch,1,0.9,0.722222222,0.888888889,0.826086957
132r01619514,2,1,0.5,0,,0,movement +speed,0,pitch,1,duration + movement speed,0,volume,1,0.3,0.888888889,1,0.804347826
13202126514,2,0,0,pitch,1,1,volume,1,pitch,1,movement,0,movement,0,0.5,0.5,0.777777778,0.608695652
13202021514,2,0,1,0,,0,movement,0,pitch + volume,1,duration,1,pitch,1,0.4,0.944444444,0.944444444,0.826086957
132R01921512,2,1,0.5,volume,1,1,duration,1,?,?,duration,1,speed,0,0.5,0.555555556,0.666666667,0.586956522
1230105514,1,0,0,duration and pitch,1,1,duration,1,pitch,1,duration,1,pitch,1,0.4,0.444444444,0.888888889,0.608695652
1230115514,1,0,0.5,0,,0,duration,1,pitch,1,duration,1,pitch,1,0.3,0.611111111,0.944444444,0.673913044
12300229414,1,0,1,0,,0,movement + speed,0,pitch,1,volume,1,pitch,1,0.6,0.75,0.722222222,0.706521739
12301516514,1,0,1,pitch,1,1,pitch,1,movement,0,pitch,1,movement,0,0.7,0.944444444,1,0.913043478
12301720514,1,0,1,0,,0,movement,0,pitch,1,movement,0,pitch,1,0.6,0.555555556,0.5,0.543478261
123R0126514,1,1,,?,,0,?,,?,?,?,?,?,?,0.3,0.28,0.33,0.303913044
123R0137514,1,1,,duration,1,1,duration,1,?,?,duration,1,?,?,0.7,0.39,0.33,0.433913044
123R0147514,1,1,,volume,1,1,duration,1,volume,1,duration,1,volume,1,1,0.83,0.83,0.866956522
123r01619514,1,1,1,duration,1,1,duration,1,volume,1,duration,1,volume,1,0.6,0.944444444,0.888888889,0.847826087
123R01821514,1,1,0,volume,1,1,volume,1,movement,0,volume,1,movement,0,0.5,0.722222222,0.666666667,0.652173913
12301921514,1,0,0.5,0,,0,0,?,0,?,duration,1,movement + speed,0,0.3,0.722222222,0.888888889,0.695652174
123R0223614,1,1,1,volume,1,1,frequency,0,frenquency,0,frequency,0,frequency,0,0.333333333,0.722222222,1,0.746376812
